Rank,Team,Current_AdjEM,AdjO,AdjD,AdjT,Games,Preseason_AdjEM,SurpriseZ,CollapseFactor,FinalPreseasonWeight,Blended_AdjEM,WAB,Consistency,Volatility_z,Swing_z,Rank,SOS,Road_Pct,Q1_W,Q1_L,Q2_W,Q2_L,Q3_W,Q3_L,Q4_W,Q4_L,T100_W,T100_L
11,Tennessee,20.87370449834623,107.7,86.8,69.5,26,22.28,-0.1757869377067216,0.913829773542515,9.13829773542515,21.239434992602504,2.1922360871454174,19.596176781215938,1.5319971828518961,1.8362722487456682,11,10.55,0.444,7,6,2,2,5,0,4,0,11,8
12,Texas Tech,20.0288133899341,110.3,90.3,67.2,27,24.7,-0.5838983262582373,0.8518458769017196,8.518458769017197,21.14911286010541,0.8449760069624332,34.32568433947958,1.076337766471172,1.0860986217923436,12,7.45,0.455,4,8,1,2,5,0,7,0,6,10
13,Colgate,22.220329390169738,115.6,93.4,73.7,15,-5.91,3.5162911737712172,0.06602373293135097,0.6602373293135098,21.034351607156843,1.9459529685209436,22.46774039773493,1.4785291493195594,1.564375105017332,13,-1.09,1.0,0,0,0,0,8,1,6,0,0,0
14,Creighton,20.357867889972766,111.9,91.5,70.9,28,21.56,-0.15026651375340405,0.9167968139168217,9.167968139168217,20.65438958420513,3.687690808942847,22.004204090012813,1.4849161966050466,1.60727729366612,14,10.63,0.636,9,3,4,5,4,0,3,0,15,8
15,BYU,19.565842858627107,110.7,91.1,69.9,25,23.55,-0.4980196426716117,0.86737784408087,8.6737784408087,20.592092300114025,2.8707057870119073,26.217011002886053,1.251489100368044,1.5189527407669963,15,6.58,0.7,3,4,4,2,6,0,6,0,6,5
16,Arkansas,18.962844441424068,108.3,89.3,75.3,28,26.08,-0.8896444448219913,0.7842374476012143,7.842374476012143,20.52009057565379,4.215691509054494,25.036590916673028,1.3228130255025072,1.5234733989012388,16,7.84,0.556,5,4,8,2,3,0,6,0,14,6
17,St. Bonaventure,21.128090322187248,109.9,88.8,66.3,20,-4.13,3.157261290273406,0.1080426813729981,1.080426813729981,19.83354736587809,2.4853451707342096,23.44464168592259,1.3436388156071368,1.668137328604494,17,5.48,0.625,1,2,7,2,3,0,5,0,6,3
18,Kansas,18.7340572967113,106.8,88.0,69.7,27,21.87,-0.39199283791108774,0.8846285323296352,8.846285323296353,19.507957399904754,4.100491536758174,23.231505930720317,1.3261771135448241,1.727053176932473,18,10.66,0.462,5,8,5,0,6,0,3,0,9,8
19,Villanova,21.83501806023814,114.5,92.6,67.3,22,8.63,1.6506272575297676,0.5371959337250399,5.3719593372503995,19.243430837955565,3.7750744798312805,19.763427796041405,1.454418935146332,1.9552372803361608,19,11.42,0.636,6,3,6,3,3,0,1,0,12,6
20,Wisconsin,17.951114992804406,107.6,89.6,67.0,29,22.36,-0.5511106258994491,0.8579460204394845,8.579460204394845,18.95767158673238,2.2408463149965723,23.427250731985264,1.3345399151133144,1.686880858008313,20,12.84,0.417,5,12,6,0,3,0,3,0,13,12
21,Virginia,20.618553466044844,113.0,92.4,61.3,24,12.03,1.0735691832556056,0.7339284379692835,7.3392843796928355,18.607217293405743,3.2693365845387223,16.04144257497412,1.636190107082872,2.2179333297690755,21,8.35,0.6,5,4,4,2,5,0,4,0,11,5
22,Colorado,20.44935021906177,111.7,91.3,67.8,30,8.66,1.4736687773827213,0.6021656435250915,6.0216564352509145,18.47855199267683,3.308485268653442,25.558954613844193,1.2766090437738853,1.5455122284415743,22,8.16,0.571,4,4,7,1,8,3,3,0,14,6
23,Florida,16.62582138155932,108.3,91.7,69.8,23,23.9,-0.9092723273050849,0.7792139477559341,7.792139477559341,18.466596830789726,1.7303410939248778,22.3519090849386,1.3856779980048057,1.7270722590457883,23,12.05,0.5,4,6,4,2,5,1,1,0,11,8
24,North Carolina,18.184833852754707,106.9,88.7,74.4,28,18.43,-0.030645768405661578,0.9294998197961353,9.294998197961352,18.245936386792923,2.686863701652694,20.432323615835877,1.5252160740876484,1.7361587920229065,24,10.22,0.467,3,9,8,1,4,0,3,0,12,10
25,Loyola Chicago,20.2132162127144,107.7,87.4,65.0,26,3.19,2.1279020265893,0.3619632861078023,3.6196328610780233,18.132913830379785,2.2685573251612325,23.14428560526859,1.4823262977407303,1.4867939903089893,25,0.27,0.727,1,2,5,1,4,1,12,0,3,3
26,USC,19.22625727869314,109.6,90.4,69.1,29,13.07,0.7695321598366425,0.8131640266992666,8.131640266992665,17.87806826195617,3.5935309627228875,21.765905668507372,1.411791995603376,1.7549776639748496,26,9.13,0.727,4,4,5,3,11,0,2,0,12,7
27,San Diego St.,19.035456325714918,107.7,88.6,67.9,26,13.27,0.7206820407143648,0.8240421115953671,8.240421115953671,17.64792116986388,2.5938740571580823,31.180142095833673,1.1414002928847946,1.234321388551879,27,3.9,0.75,0,3,7,1,8,0,7,0,9,4
28,Oregon,15.810707540314539,112.0,96.2,68.3,26,23.55,-0.9674115574606827,0.7638461082720087,7.638461082720087,17.568109108588548,3.251073695456377,33.01690414747075,1.1056516642617207,1.141287213423226,28,7.26,0.727,3,3,7,0,8,3,2,0,10,6
29,Texas,17.505055566741092,110.4,92.9,70.9,26,16.69,0.10188194584263632,0.9221681664707113,9.221681664707113,17.29165908422546,4.307080117417691,34.39587486325063,1.0360220142905519,1.1439168053660564,29,10.51,0.818,8,5,3,2,4,0,4,0,10,7
30,Maryland,16.173075877497837,108.2,92.0,66.4,28,19.67,-0.4371155153127706,0.8775387786429432,8.775387786429432,17.007516167098256,0.1591391812414038,24.58838229410039,1.338269150655226,1.5464644513271175,30,13.31,0.364,4,11,3,2,5,0,3,0,11,13
31,Duke,15.333041594068362,111.0,95.7,70.5,24,20.84,-0.6883698007414547,0.8309598613993049,8.30959861399305,16.749357979918738,-1.8204721496814855,23.469891623404223,1.3850416859058736,1.594386787733231,31,9.22,0.4,3,6,4,4,3,1,3,0,7,10
32,Arizona,14.17066839416158,109.6,95.4,69.9,26,27.16,-1.6236664507298024,0.5472338168379822,5.472338168379823,16.429223660951003,-0.039126762625418365,21.404847253583043,1.4472995235186512,1.7392204632727044,32,6.75,0.5,2,5,3,3,8,1,4,0,6,9
33,Florida St.,18.706261762507992,111.7,93.0,72.7,22,7.31,1.4245327203134992,0.6196825234755917,6.196825234755917,16.201701696478107,1.9009963941785735,21.425018898946842,1.4150536909060372,1.7938909303352515,33,9.27,0.429,5,3,6,2,2,1,3,0,10,5
34,LSU,17.55630592533099,115.8,98.2,72.2,27,11.11,0.8057882406663737,0.8047604892280004,8.047604892280004,16.076109967254137,2.67728189178818,23.695373784195347,1.4353151097661163,1.493924524573737,34,10.58,0.417,6,8,2,1,6,0,4,0,11,9
35,UCLA,13.485164885848661,109.9,96.5,66.6,26,24.49,-1.3756043892689171,0.6368211457978749,6.368211457978749,15.650286587370125,1.6475726133302526,30.017893760665636,1.1938728473344509,1.251754223837405,35,9.16,0.462,2,6,6,2,7,1,2,0,8,9
36,Utah St.,16.330244896616946,104.1,87.8,70.3,27,13.53,0.3500306120771184,0.8908987157265794,8.908987157265795,15.635506676574678,-0.6360052489083294,24.823573628038673,1.4201868539752618,1.4015408424157527,36,2.27,0.615,2,4,2,3,7,1,8,0,6,6
37,West Virginia,16.502258252998416,112.3,95.8,71.4,27,12.84,0.45778228162480206,0.8741681853071909,8.741681853071908,15.606545045010485,2.4524984290943763,35.069365407833345,0.9899745126517019,1.1692970658466921,37,11.54,0.7,6,6,3,3,8,0,1,0,10,9
38,Kentucky,13.583703172270447,106.1,92.6,70.4,25,21.73,-1.0182871034661942,0.7498043970418662,7.498043970418662,15.463240656618655,-4.017217788931838,23.957873016405998,1.3485787614054492,1.5994288359356648,38,13.96,0.364,3,12,3,2,3,2,0,0,7,16
39,Oklahoma St.,16.678451211968493,106.7,90.0,74.1,28,11.31,0.6710564014960616,0.8345764778415538,8.345764778415537,15.44574001954653,4.778805928537393,36.7733903619657,0.9215541236410303,1.159289141535917,39,10.29,0.667,10,5,2,2,3,1,5,0,11,6
40,VCU,15.74079452747901,103.5,87.7,71.7,26,12.35,0.4238493159348764,0.8796612307783168,8.796612307783167,14.883598872633211,3.033859138102194,27.241823355902092,1.217792761794602,1.4715030652116372,40,7.03,0.583,4,5,6,0,5,2,4,0,9,5
41,Syracuse,15.135358640746674,110.5,95.4,71.1,25,11.98,0.39441983009333415,0.8842564602710725,8.842564602710725,14.31090981563343,0.546441916726458,20.088487498583774,1.4533890456655598,1.9085074206968402,41,8.83,0.2,2,7,5,1,7,1,2,0,9,9
42,Georgetown,15.500253121341672,106.2,90.7,71.5,25,10.4,0.6375316401677089,0.8414027593500808,8.414027593500808,14.21595207811292,-0.05896867130739203,27.36631003677846,1.2900372799064042,1.3435442394512451,42,12.77,0.455,4,8,6,3,1,1,2,0,10,12
43,Georgia Tech,15.975737408138059,110.5,94.6,69.2,25,8.23,0.9682171760172573,0.7636280562407369,7.63628056240737,14.163379412925588,1.5637554039808155,27.417177765100774,1.2927905401320336,1.33488282681453,43,8.41,0.5,3,6,7,0,4,1,3,1,11,6
44,Mississippi,12.702644998011351,102.8,90.1,66.8,27,18.48,-0.7221693752485812,0.8237183897776627,8.237183897776626,14.053182422686849,-1.1423016937087702,23.792940474629425,1.3112200262832716,1.6858808609617553,44,7.5,0.417,4,5,4,4,3,2,5,0,8,10
45,Clemson,12.81660093176373,104.3,91.5,65.2,23,17.24,-0.5529248835295335,0.8576140292377528,8.576140292377527,14.018004606408663,2.609781537513747,18.044402889007664,1.7241244682309036,1.7623042899828771,45,10.5,0.444,5,6,6,0,4,1,1,0,11,6
46,Missouri,11.93029204563264,106.9,94.9,70.1,25,21.07,-1.14246349429592,0.713267082491375,7.132670824913751,13.959084754136763,2.109384894507757,25.30247115254602,1.258302243652642,1.6074399388817375,46,12.37,0.545,6,6,3,3,5,0,2,0,9,9
47,St. John's,11.490052241214613,107.8,96.3,75.7,27,21.74,-1.2812434698481732,0.6688824298091474,6.688824298091474,13.52515144849137,0.05499057386149886,30.079471992112143,1.1202703824516962,1.367451535386952,47,9.32,0.417,4,7,5,3,2,1,5,0,9,10
48,Oklahoma,14.595016155847361,108.8,94.2,68.9,25,9.66,0.6168770194809201,0.845493520493703,8.45493520493703,13.347808783380254,0.27463320055447227,27.426916543470732,1.2937281412697235,1.332640770503049,48,8.6,0.364,4,8,2,1,4,1,5,0,5,9
49,Rutgers,14.173646750935546,104.7,90.5,69.4,26,10.34,0.4792058438669433,0.8705906478463413,8.705906478463413,13.211984213585573,1.6794538762961047,23.564776780253446,1.3794471645660185,1.592734804267021,49,13.64,0.364,5,10,6,1,1,0,3,0,12,11
50,Davidson,15.148577736552937,112.4,97.3,64.9,20,-3.52,2.333572217069117,0.2941405704346084,2.941405704346084,12.75500771063589,-1.5656553225937824,20.03699817942772,1.4362965743176308,1.9504891297757498,50,4.91,0.625,0,5,4,1,4,1,4,1,2,7
51,Memphis,14.564068849834257,100.3,85.7,74.4,24,6.94,0.9530086062292821,0.7677209893194897,7.677209893194897,12.716318464061779,-1.2373249707956688,30.347478455961138,1.1872337685709766,1.2338649443500098,51,3.01,0.5,1,4,2,1,8,3,5,0,2,6
52,Penn St.,13.89961755194058,108.3,94.4,71.1,25,9.23,0.5837021939925724,0.8518830022140961,8.51883002214096,12.71283155233644,-0.4341850883109064,31.58138249356273,1.0730468165665932,1.315077706521107,52,15.85,0.25,4,12,4,1,3,1,0,0,10,14
53,Michigan St.,10.526047114464987,103.7,93.1,69.9,27,24.95,-1.8029941106918765,0.48013766630736027,4.801376663073603,12.7037777047981,1.6181292552327875,19.919368841223566,1.5071577374253637,1.8338991847980084,53,13.05,0.25,5,11,4,1,2,0,4,0,11,12
54,Auburn,10.761311779456179,108.0,97.3,73.4,27,19.97,-1.1510860275679775,0.7106146191193631,7.106146191193631,12.679977241026375,-2.529834835112988,33.335580420289176,1.1206589970853749,1.094894582418466,54,11.12,0.333,1,10,7,2,1,2,4,0,7,12
55,Marquette,10.539226050664482,104.7,94.2,69.6,27,20.99,-1.3063467436669396,0.6604902920412336,6.604902920412336,12.593281899062939,-1.2002311315110958,26.108384627442327,1.2606086836520918,1.514497645709767,55,10.9,0.462,5,10,4,3,1,1,3,0,9,13
56,Colorado St.,13.497395936640288,107.3,93.8,70.3,23,8.7,0.5996744920800361,0.8488344092681993,8.488344092681993,12.204157164249551,0.9911935767298168,26.591461427146722,1.288040328869488,1.4200718457557335,56,0.82,0.583,2,4,1,2,5,0,9,0,3,6
57,Saint Mary's,9.4700554899716,97.6,88.1,65.2,23,21.05,-1.4474930637535501,0.6115329309068176,6.115329309068176,11.902285375054985,-1.1289354769924262,28.99587879929524,1.1775877478702976,1.369080064733795,57,6.85,0.286,0,6,3,2,5,1,6,0,1,7
58,Louisville,9.188271825193382,103.9,94.7,67.2,20,20.72,-1.441466021850827,0.6136784327164344,6.136784327164344,11.89586308211487,0.7830259919093798,16.58000782680825,1.7147952467476166,1.984447430910883,58,9.94,0.5,1,4,6,3,4,0,2,0,9,6
59,Virginia Tech,13.20865161805375,107.0,93.8,68.4,21,7.57,0.7048314522567187,0.827463019213579,8.27463019213579,11.614856696804265,0.6184622869479615,19.069418338298096,1.5201746094679436,1.93311349678408,59,6.8,0.571,2,3,4,3,4,0,5,0,6,6
60,Seton Hall,13.607748753857535,106.9,93.3,68.3,27,3.54,1.258468594232192,0.6764045257868782,6.764045257868782,11.590848595838885,-0.0356852857980563,24.563469766408083,1.3698050904009196,1.4992821171704922,60,12.42,0.5,6,9,4,4,3,0,1,0,10,12
61,Mississippi St.,9.465918431866555,103.1,93.7,67.3,29,21.54,-1.5092601960166805,0.5893090360149481,5.893090360149481,11.505108797707253,-2.784322018325156,22.24962082510966,1.4366925667374522,1.6526552022949734,61,8.31,0.5,3,7,5,4,2,3,5,0,7,13
62,Indiana,10.021694269912302,104.9,94.9,67.6,27,15.2,-0.6472882162609621,0.8394400508455254,8.394400508455254,11.249819951634212,-0.8412738812899061,26.294043645415567,1.2400108915881862,1.5312144699304342,62,14.0,0.385,5,12,3,3,2,0,2,0,10,15
63,Boise St.,11.969303130717023,106.7,94.7,71.0,25,9.23,0.3424128913396278,0.8920044080188022,8.920044080188022,11.248941311102978,0.2884162045798675,22.511151753104052,1.4319850489811832,1.6293649666948515,63,2.58,0.538,2,4,2,2,6,1,7,1,4,7
64,North Texas,13.265744013671949,104.8,91.5,64.4,25,3.14,1.2657180017089935,0.6740198337105284,6.7401983371052845,11.115488925847888,-1.146307499304175,28.291560467499757,1.1775070795963725,1.4372429905626043,64,0.77,0.571,0,4,3,1,8,4,5,0,3,7
65,SMU,9.068634373831586,104.3,95.2,71.0,16,14.43,-0.6701707032710518,0.8347598136811918,8.347598136811918,10.906783889044139,0.11331635935200168,35.57518273828995,1.0172440452079012,1.0847572458477028,65,3.93,0.714,1,3,2,0,4,2,4,0,2,3
66,Dayton,11.302040493940083,108.2,96.9,67.4,23,9.46,0.23025506174251031,0.9071748342922228,9.071748342922227,10.781004733125867,-1.6213487156794884,22.810143133718014,1.3155981948802804,1.8033009694987725,66,5.4,0.4,3,2,3,4,6,1,2,2,6,4
67,Saint Louis,13.131696792696388,107.3,94.1,69.6,20,3.61,1.1902120990870486,0.6983982059932234,6.983982059932234,10.667295525581372,-0.5163618559879026,21.942808927658582,1.3940263853352586,1.764374903447213,67,2.52,0.167,1,3,2,2,5,1,6,0,4,5
68,Xavier,11.058189333863098,106.6,95.5,70.5,21,9.69,0.17102366673288727,0.9143907375887712,9.143907375887713,10.643160307084406,-0.47340845369923557,21.867993312675466,1.4018638530790444,1.7597216399781,68,9.0,0.286,1,6,6,1,2,1,4,0,8,8
69,N.C. State,9.64125977529308,106.3,96.6,69.6,23,12.63,-0.3735925280883652,0.8874156951356849,8.874156951356849,10.473361778221623,-1.1200054392859116,25.057410763303302,1.3760557992187177,1.4396151055511535,69,6.86,0.455,2,7,2,2,4,1,5,0,5,9
70,UC Santa Barbara,12.415792792652383,107.5,95.1,67.8,24,2.36,1.256974099081548,0.6768950075020568,6.768950075020568,10.203589931902993,0.5745998484965185,22.773260580215975,1.4053651438619499,1.6416496136614103,70,-3.14,0.667,0,0,2,4,6,0,12,0,0,0
71,Providence,10.02414056450263,104.0,94.0,68.6,26,10.62,-0.0744824294371711,0.9250673167457983,9.250673167457983,10.180509234835448,-1.335193261141617,22.454865078805568,1.3554534488635794,1.7704219179698184,71,11.54,0.333,4,8,5,4,2,1,2,0,8,12
72,Northwestern,8.253174003033891,101.2,93.0,69.9,23,14.98,-0.8408532496207637,0.7963636503891929,7.963636503891928,9.983267852250702,-3.175884770962366,30.59591557908088,1.1434529804930458,1.281016364459482,72,13.08,0.2,3,11,2,2,1,2,2,0,6,15
73,Wright St.,12.001495004224168,106.5,94.5,73.7,24,-6.5,2.312686875528021,0.3006866330001954,3.006866330001954,9.941592100157882,-3.130436944936168,19.47630571444455,1.59485173152597,1.7535665169472368,73,-5.6,0.818,0,0,1,0,3,2,14,4,0,0
74,Ohio,12.247787762123792,110.7,98.5,71.3,22,-4.52,2.095973470265474,0.3730954045682955,3.730954045682955,9.81648088258953,-0.8569509810463316,17.75442943500483,1.6759024740637218,1.8679591309930617,74,-0.4,0.667,0,1,4,3,2,3,9,0,3,3
75,Drake,11.291541811924759,110.0,98.7,68.5,27,4.68,0.8264427264905949,0.7998466037679927,7.998466037679926,9.780555799496469,2.294450468779658,24.425842025663854,1.3886284137564062,1.4853988880949995,75,-1.19,0.75,1,2,4,0,6,2,12,0,1,2
76,Vanderbilt,8.249833356717843,106.7,98.5,70.1,25,13.05,-0.6000208304102697,0.8487677368141388,8.487677368141387,9.466467921534017,-5.522686687554611,26.996519351316817,1.154842634894801,1.6203149989567267,76,8.97,0.182,1,11,2,4,2,1,4,0,2,16
77,Buffalo,10.905084720506665,104.8,93.9,75.1,23,-11.66,2.820635590063333,0.16715119108637125,1.6715119108637124,9.37628470143012,-3.2913592957972675,27.415173727258697,1.2328090898147355,1.4283283117770407,77,-0.31,0.625,1,1,0,4,5,3,9,0,1,4
78,Winthrop,11.320043386937229,104.2,92.9,75.4,24,-6.91,2.2787554233671536,0.31149632079415607,3.114963207941561,9.225778534206171,1.484731253744755,33.8965179142499,1.0692997287607442,1.1292592381365716,78,-6.35,1.0,0,0,1,0,3,0,19,1,2,0
79,Toledo,11.24154918846699,110.5,99.3,71.9,29,-3.4,1.8301936485583739,0.4699635914557317,4.699635914557317,9.199688837650767,-1.421241271199559,27.38291054087406,1.2851386729944712,1.3492101560786989,79,-1.09,0.571,0,2,5,2,3,3,13,1,2,3
80,Notre Dame,8.506092636650294,110.6,102.1,69.0,26,10.49,-0.24798842041871327,0.9049104895840483,9.049104895840482,9.018305028034714,-3.3636082016363726,25.723469889986035,1.3567920355679401,1.401910468341703,80,10.54,0.308,2,11,3,3,2,1,4,0,4,14
81,Louisiana Tech,10.983187057667308,101.7,90.7,71.3,27,-0.68,1.4578983822084135,0.6078187030628113,6.078187030628113,8.840051696468011,-1.0464163187071094,26.07671993584368,1.3028322597694442,1.4479152274192395,81,-0.59,0.5,1,2,1,2,8,3,10,0,4,4
82,Liberty,8.868063617447575,107.8,99.0,65.3,24,7.86,0.12600795218094685,0.9195307285436998,9.195307285436998,8.588823704227487,-1.2356741961313489,25.193022358699572,1.2692343305656169,1.599504645741287,82,-6.11,0.545,1,2,0,1,2,0,16,2,1,2
83,Utah,8.997008105217688,107.7,98.7,69.5,25,7.2,0.22462601315221098,0.9078834158818921,9.078834158818921,8.518272873452053,-3.119836920461239,20.38880189085432,1.4068825511016616,1.9584873589279352,83,8.48,0.273,2,7,3,3,4,3,3,0,5,11
84,Oregon St.,10.187797664855822,107.9,97.7,66.7,28,-1.0,1.3984747081069777,0.6288503447072807,6.288503447072808,8.135958211168466,-0.7110795439392703,23.086017189161407,1.4015120709746278,1.6115426843511773,84,8.85,0.538,5,6,3,3,7,1,1,2,9,9
85,Stanford,8.232182176523096,101.4,93.2,70.8,27,7.76,0.059022772065387086,0.9266589996585018,9.266589996585019,8.111533429730342,-2.460697502416334,21.331521604183184,1.5076538940641506,1.6522127036020353,85,9.11,0.538,2,7,4,4,5,2,3,0,7,11
86,Georgia,5.4753332608484016,104.7,99.3,75.4,25,17.19,-1.46433334239395,0.6055154222102683,6.055154222102683,7.7594666210883005,-2.2987269755851116,21.784369545889824,1.3828221784514894,1.8066333920291524,86,9.97,0.222,2,8,4,3,3,1,4,0,7,10
87,Abilene Christian,10.112872909350884,102.8,92.7,71.9,23,-6.1,2.0266091136688607,0.39773450244906156,3.9773450244906154,7.722563954182564,-0.567061995614587,26.7907170799594,1.2390085676632072,1.480725941064227,87,-7.47,0.667,0,2,0,0,5,1,14,1,0,2
88,Nevada,8.28265380433055,106.6,98.3,72.4,25,6.05,0.2790817255413188,0.900820744506485,9.00820744506485,7.691261016136375,-1.9976682885119423,28.828086526892363,1.2313722038155732,1.2986312430153695,88,2.93,0.385,1,5,4,1,3,3,7,1,5,6
89,Minnesota,7.549667749115898,102.1,94.6,72.9,29,8.08,-0.0662915313605128,0.9259145436846369,9.259145436846369,7.678014145375363,-0.7520514269291532,21.6902495153412,1.478850212597044,1.653009970231185,89,13.11,0.083,5,12,2,3,4,0,3,0,8,15
90,Butler,6.118348310091292,101.9,95.8,66.1,25,11.18,-0.6327064612385884,0.8423662123514576,8.423662123514577,7.394020720407774,-2.62056782763327,25.479387960178514,1.3071241845787853,1.5022892990478742,90,12.37,0.154,3,12,5,2,1,0,1,1,7,14
91,UAB,7.430322118902168,101.1,93.7,68.9,27,6.79,0.08004026486277105,0.9244873798044092,9.244873798044091,7.266997031544127,-1.5608729572571285,22.554113604779293,1.3882798675668004,1.697164753495826,91,-2.6,0.545,2,0,1,3,4,3,13,1,2,3
92,Furman,9.28280809411359,107.9,98.6,69.4,22,1.2,1.010351011764199,0.7520309392448937,7.5203093924489375,7.223709836726319,-3.1919138425034497,22.315264087585827,1.4042091183506318,1.6988642186443927,92,-0.53,0.417,0,1,1,4,5,4,7,0,1,3
93,Nebraska,4.936833467961748,98.7,93.7,74.0,26,14.22,-1.1603958165047816,0.7077344767522339,7.077344767522339,6.923092357341178,-6.619147124185744,26.36850577203566,1.2929140703069502,1.434410808629106,93,13.69,0.083,1,14,1,5,1,1,3,0,3,20
94,Richmond,9.470706565648243,106.7,97.3,70.2,20,-1.36,1.3538383207060303,0.6443379833732263,6.443379833732264,6.831620461339172,-0.4332389495953315,25.069424114180315,1.2737011780599432,1.6053313629870734,94,6.4,0.7,3,4,3,0,5,1,1,3,4,4
95,Grand Canyon,7.664506611819235,101.3,93.7,67.1,20,4.12,0.4430633264774043,0.8765767771528439,8.765767771528438,6.584392148314212,-3.2226048605073565,27.61132724384633,1.2628861509943752,1.3614404650493268,95,-3.88,0.714,0,1,0,1,5,2,9,2,1,1
96,Pittsburgh,4.663038654758182,104.6,99.9,69.9,22,11.88,-0.9021201681552273,0.7810540995717425,7.810540995717425,6.5539259237821526,-4.350268295798893,25.66446072808947,1.3624537745774816,1.3995665080984698,96,7.37,0.375,2,5,4,3,1,3,3,1,5,9
97,Navy,9.003316604247331,105.1,96.1,69.0,18,-7.69,2.0866645755309166,0.37636710793259126,3.7636710793259125,6.1164804315981565,0.9719577304356708,30.27710459237482,1.1318107642215143,1.3289039332665822,97,-0.5,0.875,1,1,0,0,8,2,6,0,1,1
98,Western Kentucky,8.169381138187077,103.0,94.8,69.6,27,-6.41,1.8224226422733847,0.4728681865425514,4.728681865425514,5.996544097881387,0.022665251330092673,33.72727838772647,1.0101567356373802,1.2429891355176488,98,0.85,0.636,2,3,1,1,7,2,10,1,4,5
99,UNC Greensboro,8.03335041884327,102.8,94.7,70.1,29,-5.04,1.6341688023554086,0.543327755909613,5.43327755909613,5.970487209525078,-2.214521189710325,29.118227520263265,1.1299059449906794,1.442630279830335,99,-1.86,0.733,0,0,2,2,9,4,10,2,1,2
100,Washington St.,7.16884509974858,98.7,91.6,69.6,27,0.2,0.8711056374685725,0.788905650296484,7.88905650296484,5.593061221853967,-3.8784379995043246,22.815160028130805,1.4231866328266283,1.6081018456572627,100,5.76,0.273,1,6,2,5,5,2,6,0,4,10
101,Missouri St.,8.138627059457264,104.9,96.7,70.7,22,-6.59,1.841078382432158,0.46589863012035604,4.65898630120356,5.564618020619598,-2.229874685876176,29.21434400813043,1.2131262992486072,1.2921465110707366,101,0.56,0.7,0,3,0,2,9,2,6,0,0,5
102,George Mason,5.289473647244378,100.4,95.1,70.5,21,6.15,-0.10756579409445277,0.9215540306045887,9.215540306045888,5.551928503517371,-2.612331542495234,19.917377626082324,1.509321122975794,1.830446408527468,102,2.35,0.4,1,4,1,3,2,1,8,1,1,6
