Rank,Team,Current_AdjEM,AdjO,AdjD,AdjT,Games,Preseason_AdjEM,SurpriseZ,CollapseFactor,FinalPreseasonWeight,Blended_AdjEM,WAB,Consistency,Volatility_z,Swing_z,Rank,SOS,Road_Pct,Q1_W,Q1_L,Q2_W,Q2_L,Q3_W,Q3_L,Q4_W,Q4_L,T100_W,T100_L
38,Georgia,18.5637468703854,113.4,94.8,68.1,31,17.19,0.17171835879817499,0.9143091312854451,9.143091312854452,18.250858832471398,1.3651772158859927,20.868985048929893,1.4603083593351096,1.7865934736977505,38,11.85,0.2,4,10,3,2,4,0,8,0,11,12
39,Texas,18.479806584156762,115.9,97.4,69.1,34,16.69,0.2237258230195951,0.9079962795662813,9.079962795662812,18.102569090413805,0.19758581355262805,22.814886711689105,1.4005684622529557,1.6446755390996115,39,10.4,0.5,7,10,3,5,2,0,7,0,9,15
40,Colorado St.,18.483940066530366,115.3,96.8,67.2,34,8.7,1.2229925083162958,0.6879410926506632,6.879410926506631,16.83744510311268,0.4218747825057356,23.114418215704234,1.4691907354916802,1.507664883713638,40,5.05,0.583,1,5,7,2,8,2,9,0,10,7
41,Boise St.,18.413719998502998,115.4,97.0,65.9,33,9.23,1.1479649998128747,0.7115763882177715,7.115763882177715,16.78470494942366,0.6275746412072749,17.079014089979786,1.6196405969271015,2.064926245266025,41,5.59,0.562,4,6,4,2,5,2,10,0,8,8
42,SMU,16.724232343066006,114.0,97.3,70.7,33,14.43,0.28677904288325085,0.8997844109793667,8.997844109793666,16.232703660770127,-1.5826177758592692,20.798678930903833,1.441323887823607,1.8302961889708669,42,6.06,0.538,0,6,5,5,11,0,6,0,7,10
43,Oklahoma,17.730844267486162,117.0,99.3,70.2,33,9.66,1.0088555334357703,0.7524490188120447,7.524490188120447,16.232269252263634,1.7997339265380319,31.17358243173463,1.1767544824674685,1.181488607157018,43,12.13,0.333,7,11,2,1,4,1,7,0,13,13
44,Ohio St.,15.446651839288108,114.8,99.3,68.8,32,18.15,-0.33791852008898626,0.8926521251556265,8.926521251556265,16.036281596936583,-0.8726112020434371,19.173134967059042,1.6010248507425457,1.7841497957276735,44,13.03,0.385,6,11,4,4,1,0,6,0,10,15
45,Northwestern,16.12033320255304,111.7,95.6,66.9,33,14.98,0.14254165031913013,0.9176764395742382,9.176764395742381,15.872221018453684,-2.410355623193869,31.8492331403604,1.1724508234071256,1.1344160470133693,45,11.53,0.214,3,12,5,4,3,0,6,0,9,15
46,Xavier,16.844458985986606,114.3,97.4,70.7,32,9.69,0.8943073732483258,0.7830515801528581,7.830515801528581,15.437921736498957,0.9030198374741083,26.736173850371276,1.308190716681764,1.3756218411630803,46,9.12,0.429,3,9,7,2,4,0,7,0,11,11
47,Utah St.,15.614874787806684,118.8,103.2,69.2,33,13.53,0.2606093484758356,0.9032689565334917,9.032689565334916,15.1668419130229,3.296740665802961,20.02040639291379,1.586128443643921,1.6973735888704213,47,4.47,0.688,3,5,6,2,6,0,11,0,9,6
48,Cincinnati,16.675436760388394,110.6,94.0,67.3,33,7.98,1.0869295950485491,0.7299966556499503,7.299966556499503,15.100338739996753,-0.9219253855040428,22.70221012312319,1.4730453189949526,1.5464421615853876,48,10.27,0.375,3,12,7,3,3,0,5,0,11,15
49,West Virginia,15.321724065431482,107.5,92.2,65.1,31,12.84,0.3102155081789353,0.8965695754429165,8.965695754429165,14.76498703140555,1.4371022740446477,21.90512757804775,1.3830698542580202,1.7899438009969013,49,12.7,0.364,7,9,3,3,4,0,5,0,13,12
50,Indiana,14.219765185114014,109.9,95.7,69.4,32,15.2,-0.1225293518607482,0.9199159774930219,9.19915977493022,14.438637043869063,0.3471389248442307,27.081384903453568,1.2600753538844613,1.4164241582819674,50,12.6,0.333,4,13,5,0,7,0,3,0,11,13
51,San Diego St.,14.174174011963089,107.5,93.3,67.5,29,13.27,0.11302175149538618,0.9209603510010395,9.209603510010394,13.956242303981512,1.3889137980589545,20.448459438877222,1.4073956120874533,1.948278446879459,51,7.9,0.615,3,5,6,3,3,1,8,0,9,7
52,Villanova,15.21035686792699,114.6,99.4,64.9,32,8.63,0.8225446084908736,0.8007810491268563,8.007810491268563,13.893257778618489,-1.9339909875401453,19.217319362410386,1.6115018014436335,1.762920969221756,52,7.57,0.308,4,6,4,4,4,2,7,1,8,12
53,Santa Clara,15.54569056340091,114.8,99.2,70.7,30,5.23,1.2894613204251137,0.6661466505707307,6.661466505707308,13.67130762892014,-2.354996732925585,15.406625610882614,1.7551409575693813,2.1137932616311623,53,4.16,0.5,2,5,3,3,7,2,7,1,5,6
54,Vanderbilt,13.85099919065317,114.7,100.8,71.1,31,13.05,0.1001248988316461,0.9223571216612048,9.223571216612047,13.66732397594755,1.4949925409495748,27.35919746854436,1.2372363259569013,1.4264699168531711,54,11.54,0.417,4,8,5,4,3,0,7,0,10,12
55,New Mexico,15.561161479762987,109.1,93.5,74.8,32,2.2,1.6701451849703735,0.5299098025771618,5.2990980257716185,13.662935834453616,2.5786280279866816,28.625684005737355,1.1864734761293108,1.3890456443224457,55,5.68,0.667,3,3,8,2,4,2,10,0,11,5
56,Drake,15.499249526252868,113.0,97.5,59.3,31,4.68,1.3524061907816085,0.6448301249910249,6.448301249910249,13.636260340771605,2.8279765392256166,30.51595568988182,1.0803996578293424,1.400366409364561,56,0.09,0.923,2,0,4,0,10,3,12,0,4,1
57,Iowa,13.076697658383495,118.9,105.9,70.4,32,13.15,-0.009162792702063216,0.9315824807424841,9.31582480742484,13.093225750843375,-2.7415452098893844,25.588204599227307,1.297211248099757,1.5071977349971692,57,10.45,0.25,3,14,5,1,1,1,7,0,8,16
58,McNeese,14.637903501145686,113.5,98.9,67.0,31,4.66,1.2472379376432108,0.6800807875560007,6.8008078755600065,12.842761848735591,-0.607559610027387,32.277223033071415,1.0890998834937984,1.2270343068371483,58,-2.44,0.667,0,3,0,1,7,2,18,0,1,4
59,Nebraska,12.051973444905272,110.7,98.6,69.0,31,14.22,-0.2710033193868411,0.9018981188271799,9.018981188271798,12.540576356210858,-1.219164341082763,21.63917745669025,1.4674963242580823,1.676840421397822,59,10.67,0.429,5,10,3,3,3,1,6,0,7,14
60,USC,12.312993175510584,114.5,102.2,70.1,34,13.07,-0.09462585306117699,0.9229457843207671,9.22945784320767,12.474613582571585,-3.734768591629823,19.32552364736436,1.5895249276208583,1.7812170700246313,60,11.97,0.286,4,15,3,1,3,2,6,0,6,17
61,Liberty,13.668726412694397,112.4,98.7,67.0,30,7.86,0.7260908015867996,0.8228626384339767,8.228626384339767,12.41841103545948,-0.6006447691456955,28.693126516489233,1.1872604826528481,1.3812928267326234,61,-1.52,0.769,1,0,3,2,12,2,8,2,2,0
62,Wake Forest,11.5469121021179,106.7,95.2,69.4,31,13.88,-0.2916359872352625,0.8991255512277675,8.991255512277675,12.07146151057597,0.05266929292955069,28.32532123776312,1.1997268116688407,1.3953306775771535,62,8.74,0.5,2,7,5,2,7,2,6,0,9,10
63,Memphis,13.145921671027665,109.8,96.7,72.9,34,6.94,0.7757402088784581,0.8117451317269165,8.117451317269165,11.949831559499541,5.184786194441237,28.98710282160996,1.181187654599416,1.3638383996077788,63,6.18,0.812,5,1,6,1,11,3,7,0,11,3
64,San Francisco,12.880174746379353,109.4,96.5,69.8,32,5.08,0.9750218432974191,0.7617807352147851,7.61780735214785,11.380338372224609,0.2432505621767156,31.17342118297188,1.1668876555777974,1.195954639174953,64,3.95,0.538,1,6,4,3,8,0,10,0,3,8
65,Kansas St.,11.830125459590235,107.1,95.2,68.2,32,7.85,0.4975156824487794,0.8674647784110148,8.674647784110148,10.981287463948075,-2.437053974033855,27.18783183518633,1.3493193506344456,1.2779321821095138,65,10.85,0.25,5,10,4,5,2,1,5,0,10,16
66,Penn St.,11.475141295763933,111.4,99.9,71.3,30,9.23,0.2806426619704916,0.9006113606140839,9.006113606140838,10.956761080404437,-3.8944193130513582,24.177392940698418,1.4989086464739658,1.364408449634534,66,8.34,0.333,2,11,4,2,2,2,7,0,6,14
67,Pittsburgh,10.496562272118624,111.4,100.9,67.7,31,11.88,-0.17292971598517215,0.9141666630553995,9.141666630553996,10.81161960715205,-4.438949713159989,18.587674810665558,1.6047786998749585,1.8584944288683758,67,8.77,0.231,1,9,2,4,7,2,6,0,4,14
68,UCF,11.192835985986477,113.3,102.1,74.5,32,9.45,0.2178544982483097,0.9087293678976466,9.087293678976465,10.80737223257671,-2.319632692710659,26.946185660405092,1.2850152596780415,1.3904216629703197,68,12.4,0.231,4,12,3,3,5,1,4,0,9,16
69,Colorado,11.101018584615304,107.5,96.4,69.5,33,8.66,0.3051273230769129,0.897275197027936,8.97275197027936,10.579188271222828,-4.466926358743635,31.24269045678232,1.1187831346733157,1.265521879430898,69,13.53,0.133,2,15,4,5,3,0,4,0,7,20
70,Butler,10.276635316533145,114.2,104.0,69.1,33,11.18,-0.11292058543335681,0.9209713964735129,9.20971396473513,10.473739953336041,-5.558375398791462,24.30103756363446,1.3473253374695504,1.5630739760657812,70,11.19,0.286,1,12,4,5,4,1,5,1,6,17
71,UC Irvine,11.547775227649595,107.1,95.5,70.3,33,4.39,0.8947219034561994,0.7829459298531434,7.829459298531434,10.175199867217751,1.3142748222522727,25.320942105410637,1.2704105297902475,1.582891731337403,71,-1.02,0.8,1,2,4,2,9,2,13,0,1,2
72,Utah,10.708389366007125,109.8,99.1,70.3,32,7.2,0.43854867075089066,0.8773075711465034,8.773075711465033,9.953494990338909,-3.1353783993670703,23.329103733140663,1.439254658714593,1.5269936179320236,72,9.51,0.083,2,12,5,4,2,0,7,0,8,16
73,Arizona St.,10.23204155729566,110.3,100.1,70.7,32,8.59,0.2052551946619574,0.910284791741154,9.10284791741154,9.868386595961455,-3.2595271939637485,26.664976245793042,1.2189203257478192,1.5299003431822904,73,14.68,0.333,5,14,2,4,2,1,4,0,8,19
74,Rutgers,9.476629408438711,111.7,102.2,70.4,32,10.34,-0.10792132394516107,0.9215154688841167,9.215154688841167,9.669667469683393,-4.3052038435472895,31.490103245791317,1.0667135534464371,1.3349779951300964,74,11.21,0.273,4,13,3,3,2,0,6,1,8,15
75,Yale,10.54393695048772,112.4,101.8,68.8,26,6.95,0.4492421188109649,0.8755705477558962,8.755705477558962,9.638547374560257,-1.6878641411692925,24.644101791383186,1.2824990359941992,1.6381936674074415,75,-2.47,0.538,0,1,1,1,6,4,13,0,0,2
76,Dayton,9.502770143457724,111.3,101.8,67.9,32,9.46,0.005346267932215376,0.9319464587147913,9.319464587147912,9.493123483189395,-2.4781437763325265,23.664214803243745,1.4099794200005544,1.534054322855975,76,5.54,0.5,3,2,3,5,7,3,8,1,5,7
77,North Texas,10.807260472513718,109.1,98.3,61.1,30,3.14,0.9584075590642147,0.7662737031221327,7.662737031221328,9.247304787348126,-1.8318099699570922,31.879257984867273,1.036113571251676,1.3575599673268886,77,0.38,0.583,0,2,2,3,11,2,9,1,2,6
78,Saint Joseph's,10.353335946834306,109.0,98.6,69.7,34,3.35,0.8754169933542884,0.7878266601709447,7.878266601709447,9.03584713538852,-4.732455570261081,25.346942725907702,1.3048226170759734,1.5200873421291847,78,1.7,0.417,1,0,2,8,8,1,11,3,3,5
79,Nevada,9.6521444192567,110.8,101.1,65.8,33,6.05,0.45026805240708756,0.8754027926147525,8.754027926147526,8.896929308131035,-6.770086772196077,25.450914097414383,1.3691678917414405,1.4107327464055734,79,4.82,0.25,0,6,2,7,5,3,10,0,3,12
80,George Mason,9.504749427572563,104.8,95.3,66.0,33,6.15,0.4193436784465703,0.8803748292884769,8.80374829288477,8.798248916203944,-0.25246047970596663,29.280297648810684,1.1377844052343948,1.4119726060586002,80,1.09,0.5,0,4,3,1,10,2,12,1,3,4
81,Minnesota,8.920468865685535,108.1,99.2,64.9,31,8.08,0.1050586082106919,0.9218254749169047,9.218254749169047,8.727828579304274,-4.290842508081123,31.187060949897536,1.0977416232999215,1.3062608569815564,81,11.51,0.417,7,10,1,4,1,3,5,0,8,15
82,Stanford,8.953774179124096,109.6,100.6,67.3,32,7.76,0.14922177239051204,0.9169162758222801,9.1691627582228,8.687897755810962,-3.079807764880229,26.406304811741457,1.3138634734340167,1.3986630469831474,82,6.78,0.167,1,8,2,4,8,0,8,1,4,12
83,South Carolina,8.656305022722051,107.1,98.5,67.0,32,8.76,-0.012961872159743537,0.9312183758425179,9.312183758425178,8.679678918638194,-5.550216646344932,20.308283113397195,1.4549636450348382,1.8736012753489841,83,12.87,0.154,1,14,2,5,4,0,5,1,3,19
84,High Point,10.529420568481314,116.1,105.5,68.7,31,-2.81,1.6674275710601643,0.5309251358420561,5.309251358420561,8.578889116465351,-1.944622050846597,26.412370056789626,1.2284429934536871,1.5395587275647795,84,-5.97,0.727,0,0,0,0,9,3,17,2,1,0
85,Georgetown,7.617533353988321,107.0,99.3,69.6,31,10.4,-0.3478083307514599,0.8912222963887857,8.912222963887857,8.23884585670896,-4.51289950600577,25.167160385717686,1.3112293281888197,1.5286284548942786,85,6.98,0.25,1,10,5,2,2,3,8,0,6,12
86,TCU,6.880795132579507,103.9,97.0,68.0,32,12.64,-0.7199006084275617,0.8242120047120947,8.242120047120947,8.06035669239944,-2.264725214241853,21.730445965885707,1.4097871608132857,1.7632076217639672,86,12.69,0.167,4,11,5,5,2,0,5,0,10,16
87,Georgia Tech,7.935112762496914,106.3,98.3,70.0,32,8.23,-0.03686090468788583,0.9288864523206641,9.288864523206641,8.001454320454975,-4.341444749268518,21.09193982688638,1.4374190990994282,1.7975616403166579,87,6.2,0.154,3,8,0,5,6,1,8,1,6,12
88,Grand Canyon,9.003090472855746,107.6,98.6,73.3,32,4.12,0.6103863091069682,0.8467611100309573,8.467611100309574,7.981332331776524,-2.2802717954263123,28.06846454234878,1.2278095015577364,1.3735375126556435,88,-3.57,0.538,0,2,1,2,7,1,17,2,1,2
89,LSU,6.957611230470292,105.8,98.9,69.8,32,11.11,-0.5190485961912135,0.8637070582555795,8.637070582555795,7.84016684716466,-3.3489175317595254,22.987242526638713,1.4154018832542499,1.6006927343545925,89,10.31,0.214,3,15,1,3,2,0,8,0,6,18
90,Florida St.,7.988696026374811,106.3,98.3,71.6,32,7.31,0.0848370032968514,0.9239835493562845,9.239835493562845,7.836633353020624,-5.3154626252765915,27.898954057891366,1.2225955889154014,1.3981585384528754,90,7.03,0.308,1,6,2,6,7,3,7,0,5,10
91,Virginia,6.731716493841461,110.2,103.5,62.9,32,12.03,-0.6622854382698173,0.8363848516887922,8.363848516887922,7.8295810997522475,-4.917585314027839,23.198462159403032,1.3575049812911566,1.67297078539424,91,8.72,0.333,3,9,0,6,5,2,7,0,5,14
92,Oklahoma St.,6.74427378808133,105.1,98.3,73.8,32,11.31,-0.5707157764898338,0.8543240995546142,8.543240995546142,7.706360152918028,-3.3929863695532276,21.92968752004127,1.349754875912008,1.8531907173772881,92,11.16,0.133,1,13,6,4,3,0,5,0,7,16
93,Providence,6.825255155738731,109.4,102.6,68.9,32,10.62,-0.47434310553265857,0.8714102017631327,8.714102017631326,7.6374502445424355,-8.18226528921457,19.79505586044287,1.4788585695987104,1.9026955029633124,93,9.09,0.154,1,12,3,4,2,3,6,1,4,16
94,Lipscomb,9.346319475667755,111.0,101.6,67.3,32,-1.7,1.3807899344584693,0.6350202691802467,6.350202691802467,7.517219164709307,-3.7182382422430997,26.208858934649147,1.3253174565164998,1.4007055958376176,94,-4.47,0.625,0,2,2,2,5,3,16,2,0,2
95,Bradley,8.232278930072084,110.4,102.1,67.2,33,4.62,0.4515348662590105,0.8751953824283686,8.751953824283685,7.475080871042898,-1.062471731296366,21.7912651079763,1.5074149474617289,1.5991095739737584,95,0.42,0.667,1,2,2,4,12,1,10,1,2,3
96,Troy,8.248879808045047,106.8,98.6,68.3,30,2.65,0.6998599760056308,0.8285250721651869,8.285250721651868,7.037235059854513,-4.254304802634522,32.43096350815841,1.0652639767424588,1.2545709171272,96,-2.64,0.625,0,3,1,0,6,4,13,3,2,4
97,UAB,6.875008556222994,114.7,107.8,71.1,31,6.79,0.01062606952787426,0.9314424517992178,9.314424517992178,6.855367800096879,-4.320161726618888,29.613488124767947,1.134771517490876,1.3853785211845058,97,-1.25,0.583,0,2,2,3,7,3,12,2,2,5
98,UNC Wilmington,7.4717768949575145,111.1,103.6,66.7,31,4.19,0.41022211186968927,0.8818083030527811,8.818083030527811,6.74499702649383,-3.156865741780024,25.60878573252147,1.3337221507504342,1.4471061894125796,98,-3.93,0.692,0,1,0,0,8,3,16,3,0,1
99,Arkansas St.,8.056709466073485,108.8,100.8,71.5,32,-1.61,1.2083386832591856,0.6926402747210156,6.926402747210156,6.336655254100547,-4.027585509047842,31.503699178272605,1.1144892197879694,1.2502693700897678,99,-2.28,0.529,1,1,2,1,4,8,15,0,3,3
100,Notre Dame,5.222461708752988,107.8,102.5,66.4,33,10.49,-0.6584422864058765,0.8371721982219448,8.371721982219448,6.2883676945847515,-7.057406807173869,26.144036041753917,1.250613265736033,1.5282988976888827,100,7.46,0.214,0,8,4,7,5,2,6,1,6,13
101,Northern Iowa,6.224856159914154,107.9,101.7,66.5,30,6.09,0.01685701998926925,0.9308432011716574,9.308432011716574,6.192921551188272,-5.091514823367589,18.089665019971562,1.6834523423647694,1.8105759026131407,101,0.59,0.5,0,1,2,4,10,5,7,1,1,5
102,UNLV,6.690111102383341,105.3,98.6,67.3,31,4.21,0.3100138877979176,0.8965976172442147,8.965976172442147,6.133722414339456,-4.839709185185281,32.12126154101778,1.092105687687933,1.2350944386868488,102,5.53,0.357,1,7,2,7,4,0,9,1,4,14
